marque,modele,puissance_fiscale,kilometrage,annee,energie,boite,prix
Peugeot,3008,7,124000,2019,Essence,Automatique,85000
Kia,Sportage,8,88000,2021,Hybride,Automatique,115000
Peugeot,2008,7,33500,2022,Essence,Automatique,94000
Volkswagen,Polo,4,191000,2010,Essence,Manuelle,26500
Peugeot,208,4,43000,2019,Essence,Manuelle,34500
Citroen,Berlingo,7,1999999,2000,Diesel,Manuelle,11500
Citroen,C3,4,102000,2017,Essence,Manuelle,31500
Mahindra,Hover,4,60000,2019,Essence,Manuelle,31000
Mercedes-Benz,Classe CLA,9,151000,2013,Essence,Automatique,85000
Volkswagen,Polo,5,192000,2007,Essence,Manuelle,21800
Peugeot,208,5,110000,2014,Essence,Manuelle,29500
Fiat,500X,4,100000,2014,Essence,Manuelle,32000
Kia,Sportage,8,132000,2019,Essence,Automatique,92000
Renault,R19,5,450000,1991,Essence,Manuelle,8500
Peugeot,301,5,170000,2019,Essence,Manuelle,25800
Peugeot,4008,9,80000,2014,Essence,Manuelle,52000
Mercedes-Benz,Classe CLA,8,135000,2013,Essence,Automatique,84000
Mahindra,Scorpion,5,10520,2023,Essence,Manuelle,38000
Fiat,Punto,4,196000,2014,Essence,Manuelle,16800
Volkswagen,Jetta,4,300000,1982,Essence,Manuelle,12000
Renault,Clio,5,174000,2008,Essence,Manuelle,25800
Volkswagen,Caddy,5,259000,2013,Diesel,Manuelle,28500
Land Rover,Range Rover Evoque,11,145000,2016,Diesel,Automatique,118000
Mazda,3,6,140000,2017,Essence,Manuelle,53000
Fiat,Ducato,8,134000,2021,Diesel,Manuelle,70000
Volkswagen,Polo,2,257000,1998,Essence,Manuelle,13000
Mahindra,Hover,5,16000,2022,Essence,Manuelle,37942
Kia,Rio,5,323000,2012,Essence,Manuelle,27000
Mazda,CX-5,9,233000,2012,Essence,Automatique,51000
Mahindra,Hover,5,114000,2018,Essence,Manuelle,28500
Suzuki,Celerio,68,51000,2020,Essence,Manuelle,30500
Mercedes-Benz,Classe CLK,9,81967,2016,Diesel,Automatique,210000
BMW,Serie 5,10,15000,2023,Essence,Automatique,258000
Ford,Ka,4,58000,2014,Essence,Manuelle,25500
Porsche,Cayenne,36,76000,2016,Essence,Automatique,285000
Peugeot,208,4,149000,2016,Essence,Manuelle,28500
Volkswagen,Caddy,6,30000,2019,Essence,Manuelle,68000
Renault,Clio,5,300000,1998,Essence,Manuelle,10200
Audi,A6,11,195000,2008,Essence,Automatique,33000
Dacia,Dokker,6,85000,2021,Diesel,Manuelle,7000
BMW,Serie 1,7,6500,2021,Essence,Automatique,135000
Opel,Astra,6,287000,2012,Essence,Manuelle,30900
Seat,Leon,6,140000,2016,Essence,Manuelle,44000
Mercedes-Benz,Classe A,6,232000,2015,Diesel,Manuelle,69000
Hyundai,I 10,4,34580,2020,Essence,Manuelle,12345
Ford,Focus C-MAX,6,84000,2017,Essence,Manuelle,43000
Ford,Focus,7,97000,2017,Essence,Automatique,45500
Skoda,Octavia,8,103000,2019,Essence,Automatique,67000
Mercedes-Benz,Classe E,11,180000,2011,Essence,Automatique,65000
Peugeot,301,5,149001,2014,Essence,Manuelle,20000
Suzuki,Swift,5,104000,2021,Essence,Manuelle,38500
Mazda,BT-50,10,209000,2011,Diesel,Manuelle,26000
Hyundai,I 10,5,84000,2021,Essence,Manuelle,38000
Volkswagen,Golf,4,250000,2014,Diesel,Manuelle,53000
Hyundai,I 10,5,37000,2022,Essence,Manuelle,47000
Ford,Fiesta,5,58000,2015,Essence,Manuelle,38000
Volkswagen,Passat,7,350000,2006,Essence,Manuelle,24500
Volkswagen,Touareg,6,69000,2020,Essence,Manuelle,85000
Mercedes-Benz,Classe C,12,350000,2004,Essence,Manuelle,29000
Toyota,RAV 4,6,92000,2018,Essence,Automatique,213000
Chery,Tiggo,9,42000,2021,Essence,Automatique,68000
Audi,A3,6,110000,2019,Essence,Automatique,83000
Hyundai,Grand i10,5,120000,2020,Essence,Manuelle,34500
Jaguar,X-Type,11,96000,2017,Essence,Automatique,123456
Renault,Clio,5,98000,2021,Essence,Manuelle,42500
Mercedes-Benz,Classe CLA,7,59000,2020,Essence,Automatique,149000
Land Rover,Range Rover Sport,17,80000,2020,Essence,Automatique,330000
Volkswagen,Polo,5,250000,2006,Essence,Manuelle,17300
Peugeot,106,4,348000,1997,Essence,Manuelle,14500
BMW,Serie 5,10,132000,2018,Essence,Automatique,135000
Suzuki,Grand Vitara,8,130000,2010,Essence,Manuelle,45500
Mercedes-Benz,Classe E,9,132000,2018,Essence,Automatique,133000
Seat,Leon,5,98000,2016,Essence,Manuelle,59500
Volkswagen,Golf 7,6,95000,2019,Essence,Automatique,67000
Audi,A4,7,220000,2013,Essence,Manuelle,49000
Fiat,500,4,82000,2017,Essence,Automatique,43500
BMW,Serie 1,8,40000,2020,Essence,Automatique,135000
Volkswagen,Passat,9,137000,2012,Essence,Automatique,44000
Volkswagen,Polo,4,26000,2021,Essence,Manuelle,56000
Fiat,Scudo,8,545000,2004,Diesel,Manuelle,22000
BMW,Serie 1,7,240000,2007,Essence,Manuelle,30000
Renault,Megane,6,195000,2011,Diesel,Manuelle,27800
Mercedes-Benz,Classe CLA,7,25000,2021,Essence,Automatique,172000
Chevrolet,Cruze,7,97000,2019,Essence,Manuelle,35000
Renault,R19,6,320000,1993,Essence,Manuelle,8000
Nissan,Navara,10,227000,2015,Diesel,Manuelle,59000
Renault,Clio,5,95000,2020,Essence,Manuelle,40500
Renault,Symbol,4,215000,2011,Essence,Manuelle,29000
MG,6,9,132000,2020,Essence,Automatique,69898
Ford,Fiesta,6,140000,2016,Essence,Automatique,40000
Peugeot,308,5,137000,2020,Diesel,Manuelle,57000
Volkswagen,Passat,6,143000,2018,Diesel,Automatique,72000
Audi,A3,5,151000,2015,Essence,Manuelle,52000
Volkswagen,Passat,7,181000,2011,Essence,Manuelle,52000
MG,3,7,82000,2020,Essence,Automatique,40000
Mazda,2,6,190000,2016,Essence,Automatique,35000
Kia,Sorento,9,350000,2008,Diesel,Manuelle,35000
Opel,Corsa,5,155000,2014,Essence,Manuelle,26500
Chery,QQ,4,114000,2018,Essence,Manuelle,21500
Peugeot,301,5,70000,2018,Essence,Manuelle,25000
Citroen,C4,6,117000,2016,Essence,Manuelle,42000
Volkswagen,Polo,5,171000,2010,Essence,Manuelle,24800
Renault,Clio,5,67000,2014,Essence,Manuelle,37000
Toyota,Hilux,8,80000,2020,Diesel,Manuelle,158000
Dacia,Dokker,6,75000,2021,Diesel,Manuelle,38000
Renault,Clio,4,177000,2008,Essence,Manuelle,25700
Land Rover,Freelander,7,80000,2019,Essence,Manuelle,32000
Renault,Megane Estate,6,290000,2010,Diesel,Manuelle,28000
Audi,A4,7,180000,2010,Essence,Automatique,36500
Volkswagen,Golf 7,5,185000,2013,Essence,Manuelle,42000
Peugeot,208,4,68000,2019,Essence,Manuelle,34500
Volkswagen,Golf 7,5,360000,2014,Diesel,Manuelle,50000
Suzuki,Grand Vitara,7,153800,2009,Essence,Manuelle,41500
Mercedes-Benz,Classe B,6,200000,2009,Essence,Manuelle,25500
BMW,Serie 3,7,120000,2018,Essence,Automatique,78000
Kia,Sportage,8,100000,2017,Essence,Automatique,83000
Jeep,Compass,8,120000,2018,Essence,Automatique,65000
Renault,Megane,7,65000,2021,Essence,Manuelle,60000
Hyundai,I 10,5,78000,2018,Essence,Manuelle,35000
Mercedes-Benz,Classe E,9,95000,2018,Essence,Automatique,140000
Mercedes-Benz,Classe C,8,130000,2018,Essence,Automatique,108000
Kia,Picanto,5,85000,2019,Essence,Automatique,42000
Seat,Toledo,6,84000,2017,Essence,Automatique,45000
Suzuki,Swift,5,90000,2019,Essence,Manuelle,36900
BMW,Serie 5,10,106000,2018,Essence,Automatique,148000
Hyundai,I 10,5,70000,2019,Essence,Manuelle,37000
Hyundai,I 20,5,100000,2018,Essence,Manuelle,39000
BMW,Serie 1,8,80000,2020,Essence,Automatique,130000
Mercedes-Benz,Classe A,6,72000,2019,Essence,Manuelle,105000
Mercedes-Benz,Classe A,6,99000,2019,Essence,Automatique,130000
Dacia,Sandero,5,60000,2020,Essence,Manuelle,48000
Mercedes-Benz,Classe C,8,120000,2019,Essence,Automatique,118000
Hyundai,I 10,5,70000,2019,Essence,Automatique,40000
Seat,Ibiza,4,75000,2020,Essence,Manuelle,52000
Peugeot,208,5,35000,2020,Essence,Manuelle,45000
Hyundai,I 10,5,155000,2017,Essence,Manuelle,26000
Citroen,Berlingo,5,221000,2012,Diesel,Manuelle,24000
Volkswagen,Polo,4,275400,2002,Essence,Manuelle,15600
Mazda,BT-50,9,164500,2017,Diesel,Manuelle,57000
Fiat,500L,4,45000,2020,Hybride,Manuelle,49000
Chevrolet,Cruze,7,67423,2018,Essence,Manuelle,51000
Seat,Ibiza,4,70000,2020,Essence,Manuelle,48500
Volkswagen,Polo,4,260000,2003,Essence,Manuelle,17000
Volkswagen,Golf,5,84000,2019,Essence,Manuelle,59500
Mercedes-Benz,Classe E,10,340000,2006,Diesel,Automatique,46000
Chery,QQ,4,115000,2018,Essence,Manuelle,21800
Peugeot,505,6,1000000,1990,Diesel,Manuelle,8500
Nissan,Terrano,11,400000,1996,Diesel,Manuelle,23000
Kia,Rio,5,62000,2020,Essence,Manuelle,55500
Citroen,Nemo,5,179000,2015,Essence,Manuelle,34500
Citroen,Nemo,6,212000,2015,Diesel,Manuelle,25000
Hyundai,Tucson,7,17000,2019,Diesel,Automatique,95000
Audi,A3,6,123000,2016,Essence,Automatique,61000
Mercedes-Benz,Classe C,8,185000,2008,Diesel,Manuelle,46000
Mercedes-Benz,Classe CLA,6,101000,2019,Diesel,Automatique,138000
Dacia,Dokker,5,166000,2018,Diesel,Manuelle,48500
BMW,X4,16,100000,2019,Essence,Automatique,285000
Mercedes-Benz,Classe C,9,135000,2012,Essence,Automatique,74000
Renault,Capture,6,86000,2019,Diesel,Manuelle,64500
Hyundai,Tucson,6,85000,2019,Diesel,Automatique,118000
Kia,Sportage,8,120000,2019,Essence,Automatique,84000
BMW,X1,8,25000,2019,Essence,Automatique,136000
Ford,Ranger,7,30000,2006,Diesel,Manuelle,14000
Volkswagen,Golf 2,4,11111,1989,Diesel,Manuelle,8500
Kia,Sportage,10,325000,2017,Diesel,Automatique,85000
Volkswagen,Golf,6,80000,2019,Essence,Manuelle,66000
Kia,Rio,5,133000,2012,Essence,Manuelle,35000
Haval,jolion,9,5000,2021,Essence,Automatique,92000
Citroen,Xsara Picasso,6,180000,2003,Diesel,Manuelle,12500
Opel,Astra,5,283000,2009,Essence,Manuelle,24500
Opel,Insignia,2,169344,2010,Diesel,Manuelle,49000
Ford,Escort,7,12000,2022,Essence,Automatique,85000
Isuzu,D-MAX,8,230000,2017,Diesel,Manuelle,45000
Volkswagen,Polo,5,275000,2002,Essence,Manuelle,17800
Peugeot,208,4,71000,2020,Essence,Manuelle,32500
